linename,station,weekdate,weekend,weekday_am,weekday_pm,week
1,103 ST,2019-02-18T00:00:00Z,17185,7142,14045,7
1,103 ST,2019-02-25T00:00:00Z,18382,7912,15175,8
1,103 ST,2019-03-04T00:00:00Z,8402,7603,15438,9
1,103 ST,2019-03-11T00:00:00Z,17052,16001,13830,10
1,103 ST,2019-03-18T00:00:00Z,16129,14721,13112,11
1,103 ST,2019-03-25T00:00:00Z,16395,15511,13176,12
1,103 ST,2019-04-01T00:00:00Z,17236,16083,13548,13
1,103 ST,2019-04-08T00:00:00Z,17103,16193,13760,14
1,103 ST,2019-04-15T00:00:00Z,14924,14685,13359,15
1,103 ST,2019-04-22T00:00:00Z,16789,13293,12569,16
1,103 ST,2019-04-29T00:00:00Z,17919,16170,13765,17
1,103 ST,2019-05-06T00:00:00Z,16646,16061,14206,18
1,103 ST,2019-05-13T00:00:00Z,17931,16029,13869,19
1,103 ST,2019-05-20T00:00:00Z,16092,15410,14169,20
1,103 ST,2019-05-27T00:00:00Z,834,13578,12513,21
1,103 ST,2019-06-03T00:00:00Z,16512,15456,13896,22
1,103 ST,2019-06-10T00:00:00Z,817,15413,13542,23
1,103 ST,2019-06-17T00:00:00Z,744,15267,13077,24
1,103 ST,2019-06-24T00:00:00Z,16487,14432,12910,25
1,103 ST,2019-07-01T00:00:00Z,684,9869,11318,26
1,103 ST,2019-07-08T00:00:00Z,835,13393,12072,27
1,103 ST,2019-07-15T00:00:00Z,599,15813,10971,28
1,103 ST,2019-07-22T00:00:00Z,842,13540,12139,29
1,103 ST,2019-07-29T00:00:00Z,13567,13369,11862,30
1,103 ST,2019-08-05T00:00:00Z,14228,12995,11759,31
1,103 ST,2019-08-12T00:00:00Z,808,12668,11745,32
1,103 ST,2019-08-19T00:00:00Z,686,11731,11519,33
1,103 ST,2019-08-26T00:00:00Z,13087,11783,11751,34
1,103 ST,2019-09-02T00:00:00Z,15970,12084,11453,35
1,103 ST,2019-09-09T00:00:00Z,15002,16820,13537,36
1,103 ST,2019-09-16T00:00:00Z,15739,16635,13647,37
1,103 ST,2019-09-23T00:00:00Z,15707,16780,13941,38
1,103 ST,2019-09-30T00:00:00Z,5393,15072,13257,39
1,103 ST,2019-10-07T00:00:00Z,15775,15662,13346,40
1,103 ST,2019-10-14T00:00:00Z,16483,15195,13136,41
1,103 ST,2019-10-21T00:00:00Z,16247,16299,13730,42
1,103 ST,2019-10-28T00:00:00Z,17922,16326,14130,43
1,103 ST,2019-11-04T00:00:00Z,17907,7813,15403,44
1,103 ST,2019-11-11T00:00:00Z,16422,7316,14819,45
