station,linename,station_new,linename_new,Latitude,Longitude
1 AV,L,1 AV,L,40.73097498,-73.98168087
103 ST,BC,103 ST,BC,40.79606074,-73.96137008
103 ST,1,103 ST,1,40.799446,-73.968379
103 ST,6,103 ST,6,40.7906,-73.947478
103 ST-CORONA,7,103 ST-CORONA,7,40.749865,-73.8627
104 ST,JZ,104 ST,JZ,40.695166,-73.844435
104 ST,A,104 ST,A,40.681711,-73.837683
110 ST,6,110 ST,6,40.79502,-73.94425
111 ST,J,111 ST,J,40.69711481,-73.83679338
111 ST,A,111 ST,A,40.684331,-73.832163
111 ST,7,111 ST,7,40.75173,-73.855334
116 ST,BC,116 ST,BC,40.80505813,-73.95479778
116 ST,6,116 ST,6,40.798629,-73.941617
116 ST,23,116 ST,23,40.802098,-73.949625
116 ST-COLUMBIA,1,116 ST-COLUMBIA,1,40.807722,-73.96411
121 ST,JZ,121 ST,JZ,40.700482,-73.828349
125 ST,ACBD,125 ST,ACBD,40.81107167,-73.952248
125 ST,1,125 ST,1,40.815581,-73.958372
125 ST,456,125 ST,456,40.804138,-73.937594
125 ST,23,125 ST,23,40.807754,-73.945495
135 ST,BC,135 ST,BC,40.81790556,-73.94753481
135 ST,23,135 ST,23,40.814229,-73.94077
137 ST CITY COL,1,137 ST CITY COL,1,40.822008,-73.953676
138/GRAND CONC,45,138/GRAND CONC,45,40.813224,-73.929849
14 ST,ACEL,14 ST,ACEL,40.740893,-74.00169
14 ST,FLM123,14 ST,FLM123,40.738228,-73.996209
14 ST,123FLM,14 ST,FLM123,40.738228,-73.996209
14 ST-UNION SQ,LNQR456W,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
14 ST-UNION SQ,456LNQRW,14 ST-UNION SQ,LNQR456W,40.73476331,-73.99066977
145 ST,ABCD,145 ST,ABCD,40.82476636,-73.94408793
145 ST,1,145 ST,1,40.826551,-73.95036
145 ST,3,145 ST,3,40.820421,-73.936245
149/GRAND CONC,245,149/GRAND CONC,245,40.81833014,-73.92672247
15 ST-PROSPECT,FG,15 ST-PROSPECT,FG,40.66003569,-73.97973581
155 ST,C,155 ST,C,40.830518,-73.941514
155 ST,BD,155 ST,BD,40.830135,-73.938209
157 ST,1,157 ST,1,40.834041,-73.94489
161/YANKEE STAD,BD4,161/YANKEE STAD,BD4,40.827905,-73.925651
161/YANKEE STAD,4BD,161/YANKEE STAD,BD4,40.827905,-73.925651
163 ST-AMSTERDM,C,163 ST-AMSTERDM,C,40.836013,-73.939892
167 ST,BD,167 ST,BD,40.833769,-73.918432
167 ST,4,167 ST,4,40.835537,-73.9214
168 ST,AC1,168 ST,AC1,40.840719,-73.939561
168 ST,1AC,168 ST,AC1,40.840719,-73.939561
169 ST,F,169 ST,F,40.7105175,-73.7934742
170 ST,BD,170 ST,BD,40.839306,-73.9134
170 ST,4,170 ST,4,40.840075,-73.917791
174 ST,25,174 ST,25,40.83719555,-73.8876936
174-175 STS,BD,174-175 STS,BD,40.8459,-73.910136
175 ST,A,175 ST,A,40.847391,-73.939704
176 ST,4,176 ST,4,40.84848,-73.911794
18 AV,N,18 AV,N,40.620687,-73.990454
18 AV,D,18 AV,D,40.60773573,-74.00159259
18 AV,F,18 AV,F,40.62975467,-73.976971
18 ST,1,18 ST,1,40.74104,-73.997871
181 ST,A,181 ST,A,40.851695,-73.937969
181 ST,1,181 ST,1,40.849505,-73.933596
182-183 STS,BD,182-183 STS,BD,40.856093,-73.900741
183 ST,4,183 ST,4,40.858407,-73.903879
190 ST,A,190 ST,A,40.859022,-73.93418
191 ST,1,191 ST,1,40.855225,-73.929412
2 AV,F,2 AV,F,40.72340167,-73.989938
20 AV,N,20 AV,N,40.617109,-73.984522
20 AV,D,20 AV,D,40.604677,-73.99817432
207 ST,1,207 ST,1,40.864614,-73.918819
21 ST,G,21 ST,G,40.74412867,-73.9496
21 ST-QNSBRIDGE,F,21 ST-QNSBRIDGE,F,40.75373927,-73.94193761
215 ST,1,215 ST,1,40.869444,-73.915279
219 ST,25,219 ST,25,40.88388797,-73.86250971
225 ST,25,225 ST,25,40.88802826,-73.86021462
23 ST,NRW,23 ST,NRW,40.74130267,-73.989344
23 ST,CE,23 ST,CE,40.745906,-73.998041
23 ST,FM,23 ST,FM,40.74295432,-73.992765
23 ST,1,23 ST,1,40.744081,-73.995657
23 ST,6,23 ST,6,40.739864,-73.986599
231 ST,1,231 ST,1,40.878856,-73.904834
233 ST,25,233 ST,25,40.89314324,-73.8573624
238 ST,1,238 ST,1,40.884667,-73.90087
25 AV,D,25 AV,D,40.59770367,-73.986829
25 ST,R,25 ST,R,40.66039667,-73.998091
28 ST,NRW,28 ST,NRW,40.745454,-73.988698
28 ST,1,28 ST,1,40.747215,-73.993365
28 ST,6,28 ST,6,40.74307,-73.984264
3 AV,L,3 AV,L,40.732691,-73.98575
3 AV 138 ST,6,3 AV 138 ST,6,40.810476,-73.926138
3 AV-149 ST,25,3 AV-149 ST,25,40.81602925,-73.91779153
30 AV,NQW,30 AV,NQW,40.76677867,-73.921479
33 ST,6,33 ST,6,40.746081,-73.982076
33 ST-RAWSON ST,7,33 ST-RAWSON ST,7,40.744587,-73.930997
34 ST-HERALD SQ,BDFMNQRW,34 ST-HERALD SQ,BDFMNQRW,40.7497894,-73.98777189
34 ST-HUDSON YD,7,34 ST-HUDSON YD,7,40.75544636,-74.00219709
34 ST-PENN STA,ACE,34 ST-PENN STA,123ACE,40.750373,-73.991057
34 ST-PENN STA,123,34 ST-PENN STA,123ACE,40.750373,-73.991057
34 ST-PENN STA,123ACE,34 ST-PENN STA,123ACE,40.750373,-73.991057
36 AV,NQW,36 AV,NQW,40.756442,-73.929862
36 ST,DNR,36 ST,DNR,40.65514367,-74.003549
36 ST,MR,36 ST,MR,40.75196004,-73.92901818
39 AV,NQW,39 AV,NQW,40.75276306,-73.93285138
4 AV-9 ST,DFGMNR,4 AV-9 ST,DFGMNR,40.67084667,-73.988302
40 ST LOWERY ST,7,40 ST LOWERY ST,7,40.743781,-73.924016
42 ST-BRYANT PK,BDFM7,42 ST-BRYANT PK,BDFM7,40.754184,-73.984591
42 ST-PORT AUTH,ACENGRS1237W,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
42 ST-PORT AUTH,ACENQRS1237W,TIMES SQ-42 ST,1237ACENQRSW,40.75529,-73.987495
45 ST,R,45 ST,R,40.64893867,-74.010006
46 ST,MR,46 ST,MR,40.75631695,-73.91352175
46 ST BLISS ST,7,46 ST BLISS ST,7,40.743132,-73.918435
47-50 STS ROCK,BDFM,47-50 STS ROCK,BDFM,40.758641,-73.981331
49 ST,NQRW,49 ST,NQRW,40.75980197,-73.98420957
4AV-9 ST,DFGMNR,4AV-9 ST,DFGMNR,40.67027167,-73.989779
5 AV/53 ST,EM,5 AV/53 ST,EM,40.76008683,-73.97524851
5 AV/59 ST,NQRW,59 ST,456NQRW,40.764811,-73.973347
5 AVE,7BDFM,42 ST-BRYANT PK,BDFM7,40.754184,-73.984591
50 ST,D,50 ST,D,40.63626089,-73.99465878
50 ST,CE,50 ST,CE,40.762456,-73.985984
50 ST,1,50 ST,1,40.761728,-73.983849
51 ST,6,51 ST,6,40.757107,-73.97192
52 ST,7,52 ST,7,40.744149,-73.912549
53 ST,R,53 ST,R,40.64506867,-74.014034
55 ST,D,55 ST,D,40.63147876,-73.99534883
57 ST,F,57 ST,F,40.764085,-73.977368
57 ST-7 AV,NQRW,57 ST-7 AV,NQRW,40.76456553,-73.98072973
59 ST,NQR456W,59 ST,456NQRW,40.764811,-73.973347
59 ST,NRW,59 ST,456NQRW,40.764811,-73.973347
59 ST,456NQRW,59 ST,456NQRW,40.764811,-73.973347
59 ST COLUMBUS,ABCD1,59 ST COLUMBUS,1ABCD,40.768247,-73.981929
59 ST COLUMBUS,1ABCD,59 ST COLUMBUS,1ABCD,40.768247,-73.981929
6 AV,FLM123,14 ST,FLM123,40.738228,-73.996209
61 ST WOODSIDE,7,61 ST WOODSIDE,7,40.74563,-73.902984
63 DR-REGO PARK,MR,63 DR-REGO PARK,MR,40.72976397,-73.8616182
65 ST,MR,65 ST,MR,40.74971953,-73.89878838
66 ST-LINCOLN,1,66 ST-LINCOLN,1,40.77344,-73.982209
67 AV,MR,67 AV,MR,40.72650548,-73.85286048
68ST-HUNTER CO,6,68ST-HUNTER CO,6,40.768141,-73.96387
69 ST,7,69 ST,7,40.746325,-73.896403
7 AV,BQ,7 AV,BQ,40.67710218,-73.97285279
7 AV,BDE,7 AV,BDE,40.76297015,-73.98169782
7 AV,FG,7 AV,FG,40.66624469,-73.98025118
71 ST,D,71 ST,D,40.61925871,-73.99884095
72 ST,BC,72 ST,BC,40.7755194,-73.97633658
72 ST,123,72 ST,123,40.778453,-73.98197
72 ST-2 AVE,Q,72 ST-2 AVE,Q,40.76880251,-73.95836179
74 ST-BROADWAY,7EFMR,JKSN HT-ROOSVLT,EFMR7,40.74686757,-73.89120513
75 AV,EF,75 AV,EF,40.71804465,-73.83692369
75 ST-ELDERTS,JZ,75 ST-ELDERTS,JZ,40.69129,-73.867288
77 ST,R,77 ST,R,40.62974167,-74.02551
77 ST,6,77 ST,6,40.77362,-73.959874
79 ST,D,79 ST,D,40.61315893,-74.00058287
79 ST,1,79 ST,1,40.783934,-73.979917
8 AV,N,8 AV,N,40.634971,-74.011516
8 AV,ACEL,8 AV,ACEL,40.73977667,-74.002578
8 ST-NYU,NRW,8 ST-NYU,NRW,40.730465,-73.992508
80 ST,A,80 ST,A,40.679371,-73.858992
81 ST-MUSEUM,BC,81 ST-MUSEUM,BC,40.78134608,-73.97209795
82 ST-JACKSON H,7,82 ST-JACKSON H,7,40.747659,-73.883697
85 ST-FOREST PK,J,85 ST-FOREST PK,J,40.692427,-73.860087
86 ST,R,86 ST,R,40.62268667,-74.028398
86 ST,N,86 ST,N,40.592465,-73.978189
86 ST,BC,86 ST,BC,40.78582305,-73.96882849
86 ST,1,86 ST,1,40.788644,-73.976218
86 ST,456,86 ST,456,40.779492,-73.955589
86 ST-2 AVE,Q,86 ST-2 AVE,Q,40.77786104,-73.95177091
88 ST,A,88 ST,A,40.679843,-73.85147
9 AV,D,9 AV,D,40.64648408,-73.99444874
90 ST-ELMHURST,7,90 ST-ELMHURST,7,40.748408,-73.876613
96 ST,BC,96 ST,BC,40.7916188,-73.96460246
96 ST,123,96 ST,123,40.793919,-73.972323
96 ST,6,96 ST,6,40.785672,-73.95107
96 ST-2 AVE,Q,96 ST-2 AVE,Q,40.78423665,-73.94706602
ALABAMA AV,J,ALABAMA AV,J,40.676998,-73.898526
ALLERTON AV,25,ALLERTON AV,25,40.86548338,-73.86723423
AQUEDUCT N.COND,A,AQUEDUCT N.COND,A,40.668234,-73.834058
AQUEDUCT RACETR,A,AQUEDUCT RACETR,A,40.672097,-73.835919
ASTOR PL,6,ASTOR PL,6,40.730054,-73.99107
ASTORIA BLVD,NQW,ASTORIA BLVD,NQW,40.770037,-73.918095
ASTORIA DITMARS,NQW,ASTORIA DITMARS,NQW,40.77503567,-73.912034
ATL AV-BARCLAY,BDNQR2345,ATL AV-BARCLAY,2345BDNQR,40.68366567,-73.97881
ATL AV-BARCLAY,2345BDNQR,ATL AV-BARCLAY,2345BDNQR,40.68366567,-73.97881
ATLANTIC AV,L,ATLANTIC AV,L,40.67534467,-73.903097
AVENUE H,BQ,AVENUE H,BQ,40.62920838,-73.96151794
AVENUE I,F,AVENUE I,F,40.62501744,-73.97606933
AVENUE J,BQ,AVENUE J,BQ,40.62502282,-73.96069316
AVENUE M,BQ,AVENUE M,BQ,40.61739774,-73.95924311
AVENUE N,F,AVENUE N,F,40.61435671,-73.97404851
AVENUE P,F,AVENUE P,F,40.60884281,-73.97300282
AVENUE U,BQ,AVENUE U,BQ,40.59930895,-73.95581122
AVENUE U,N,AVENUE U,N,40.597236,-73.979084
AVENUE U,F,AVENUE U,F,40.59592483,-73.97337642
AVENUE X,F,AVENUE X,F,40.58944967,-73.974266
BAY 50 ST,D,BAY 50 ST,D,40.58884067,-73.983765
BAY PKWY,N,BAY PKWY,N,40.61145579,-73.98178001
BAY PKWY,D,BAY PKWY,D,40.60195046,-73.9936762
BAY PKWY,F,BAY PKWY,F,40.62073162,-73.97525698
BAY RIDGE AV,R,BAY RIDGE AV,R,40.63496667,-74.023377
BAY RIDGE-95 ST,R,BAY RIDGE-95 ST,R,40.61662167,-74.030876
BAYCHESTER AV,5,BAYCHESTER AV,5,40.878663,-73.838591
BEACH 105 ST,AS,BEACH 105 ST,AS,40.58326844,-73.82758075
BEACH 25 ST,A,BEACH 25 ST,A,40.600066,-73.761353
BEACH 36 ST,A,BEACH 36 ST,A,40.595398,-73.768175
BEACH 44 ST,A,BEACH 44 ST,A,40.592943,-73.776013
BEACH 60 ST,A,BEACH 60 ST,A,40.592374,-73.788522
BEACH 67 ST,A,BEACH 67 ST,A,40.590927,-73.796924
BEACH 90 ST,AS,BEACH 90 ST,AS,40.58809156,-73.8136514
BEACH 98 ST,AS,BEACH 98 ST,AS,40.58538569,-73.82052059
BEDFORD AV,L,BEDFORD AV,L,40.717174,-73.956665
BEDFORD PK BLVD,BD,BEDFORD PK BLVD,BD,40.873244,-73.887138
BEDFORD PK BLVD,4,BEDFORD PK BLVD,4,40.873412,-73.890064
BEDFORD-NOSTRAN,G,BEDFORD-NOSTRAN,G,40.689627,-73.953522
BERGEN ST,FG,BERGEN ST,FG,40.68611055,-73.9907565
BERGEN ST,23,BERGEN ST,23,40.68086214,-73.97499915
BEVERLEY ROAD,BQ,BEVERLEY ROAD,BQ,40.6439046,-73.9643578
BEVERLY RD,25,BEVERLY RD,25,40.64512352,-73.94884798
BLEECKER ST,6DF,B'WAY-LAFAYETTE,BDFQ6,40.725297,-73.996204
BOROUGH HALL,R2345,BOROUGH HALL,R2345,40.69419648,-73.99181831
BOROUGH HALL,2345R,BOROUGH HALL,R2345,40.69419648,-73.99181831
BOTANIC GARDEN,S2345,BOTANIC GARDEN,S2345,40.67034267,-73.959245
BOWERY,JZ,BOWERY,JZ,40.72024688,-73.99380691
BOWLING GREEN,45,BOWLING GREEN,45,40.704914,-74.014008
BRIARWOOD,EF,BRIARWOOD,EF,40.70916182,-73.82069264
BRIGHTON BEACH,BQ,BRIGHTON BEACH,BQ,40.5777102,-73.96135379
BROAD CHANNEL,AS,BROAD CHANNEL,AS,40.60840218,-73.81583269
BROAD ST,JZ,BROAD ST,JZ,40.706476,-74.011056
BROADWAY,G,BROADWAY,G,40.70612658,-73.95031226
BROADWAY,NQW,BROADWAY,NQW,40.761432,-73.925823
BROADWAY JCT,ACJLZ,BROADWAY JCT,ACJLZ,40.67833367,-73.905316
BRONX PARK EAST,25,BRONX PARK EAST,25,40.84876867,-73.86835609
BROOK AV,6,BROOK AV,6,40.807566,-73.91924
BROOKLYN BRIDGE,456JZ,BROOKLYN BRIDGE,456JZ,40.71323379,-74.00340673
BUHRE AV,6,BUHRE AV,6,40.84681,-73.832569
BURKE AV,25,BURKE AV,25,40.8712588,-73.86705362
BURNSIDE AV,4,BURNSIDE AV,4,40.853453,-73.907684
BUSHWICK AV,L,BUSHWICK AV,L,40.68286063,-73.90526176
B'WAY-LAFAYETTE,BDFQ6,B'WAY-LAFAYETTE,BDFQ6,40.725297,-73.996204
CANAL ST,JNQRZ6W,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
CANAL ST,ACE,CANAL ST,ACE,40.720824,-74.005229
