linename,station,weekdate_2022,weekend_am_2022,weekend_pm_2022,weekday_am_2022,weekday_pm_2022,week,weekdate_bl,weekend_am_bl,weekend_pm_bl,weekday_am_bl,weekday_pm_bl,d_weekend_am,d_weekend_pm,d_weekday_am,d_weekday_pm,lat,lon
6,WHITLOCK AV,2022-01-24T00:00:00Z,166,152,2083,956,4,2020-01-27T00:00:00Z,509,386,3963,1933,0.32612966601178783,0.39378238341968913,0.5256119101690638,0.49456802897051216,40.826525,-73.886283
Q,OCEAN PKWY,2022-02-07T00:00:00Z,396,520,2644,2179,6,2020-02-10T00:00:00Z,1,0,5789,3755,396,"NA",0.45672827776818103,0.5802929427430094,40.57631167,-73.968501
ACG,HOYT-SCHER,2022-01-24T00:00:00Z,310,1126,3646,8994,4,2020-01-27T00:00:00Z,1424,5271,12328,22062,0.21769662921348315,0.2136217036615443,0.29574951330305,0.4076692956214305,40.68840848,-73.98503624
JNQRZ6W,CANAL ST,2022-04-04T00:00:00Z,900,12891,4530,31687,14,2019-04-08T00:00:00Z,1568,27086,11911,99196,0.5739795918367347,0.4759285239607177,0.3803207119469398,0.3194382838017662,40.71817388,-73.99982639
BC,81 ST-MUSEUM,2022-03-28T00:00:00Z,94,2545,2577,7944,13,2019-04-01T00:00:00Z,254,5066,4617,10530,0.3700787401574803,0.5023687327279905,0.5581546458739441,0.7544159544159544,40.78134608,-73.97209795
25,BEVERLY RD,2022-02-21T00:00:00Z,510,430,3598,1569,8,2019-02-25T00:00:00Z,1081,901,10709,3084,0.47178538390379277,0.4772475027746948,0.33597908301428703,0.5087548638132295,40.64512352,-73.94884798
25,NEREID AV,2022-04-18T00:00:00Z,366,285,3296,1227,16,2019-04-22T00:00:00Z,684,548,6415,2272,0.5350877192982456,0.5200729927007299,0.5137957911145752,0.5400528169014085,40.89828652,-73.85431531
R2345,BOROUGH HALL,2022-01-24T00:00:00Z,707,1978,12246,30680,4,2020-01-27T00:00:00Z,2332,6795,43652,72330,0.3031732418524871,0.29109639440765267,0.2805369742508934,0.4241670123047145,40.69419648,-73.99181831
BC,96 ST,2022-03-21T00:00:00Z,54,568,1534,7591,12,2019-03-25T00:00:00Z,174,2491,4173,17068,0.3103448275862069,0.22802087515054195,0.367601246105919,0.4447504101242091,40.7916188,-73.96460246
6,33 ST,2022-03-14T00:00:00Z,512,2253,4968,15511,11,2019-03-18T00:00:00Z,1038,5899,17358,49462,0.4932562620423892,0.3819291405322936,0.28620808848945734,0.3135942743924629,40.746081,-73.982076
R,53 ST,2022-02-21T00:00:00Z,1488,1220,6472,4894,8,2019-02-25T00:00:00Z,2295,2203,18872,10055,0.6483660130718955,0.5537902859736723,0.34294192454429845,0.486723023371457,40.64506867,-74.014034
L,ATLANTIC AV,2022-04-11T00:00:00Z,49,79,1099,1042,15,2019-04-15T00:00:00Z,128,460,1607,2375,0.3828125,0.17173913043478262,0.6838830118232732,0.43873684210526315,40.67534467,-73.903097
23,EASTN PKWY-MUSM,2022-04-04T00:00:00Z,102,900,1316,2569,14,2019-04-08T00:00:00Z,184,3384,2905,6491,0.5543478260869565,0.26595744680851063,0.4530120481927711,0.3957787706054537,40.67203224,-73.96422204
D,25 AV,2022-01-17T00:00:00Z,377,292,3725,1253,3,2020-01-20T00:00:00Z,565,759,6483,3037,0.6672566371681415,0.3847167325428195,0.5745796699059078,0.41257820217319724,40.59770367,-73.986829
7,VERNON-JACKSON,2022-03-14T00:00:00Z,257,1716,3773,8695,11,2019-03-18T00:00:00Z,561,4926,9834,16097,0.45811051693404636,0.34835566382460414,0.383668903803132,0.5401627632478101,40.742626,-73.953581
34,CROWN HTS-UTICA,2022-04-18T00:00:00Z,1739,2190,16490,8127,16,2019-04-22T00:00:00Z,3207,5354,31662,17417,0.542251325226068,0.4090399701158013,0.5208135935822121,0.4666130791755182,40.66897831,-73.93293256
F,169 ST,2022-02-21T00:00:00Z,896,835,5495,3447,8,2019-02-25T00:00:00Z,1887,1990,15015,9900,0.474827768945416,0.41959798994974873,0.36596736596736595,0.3481818181818182,40.7105175,-73.7934742
7,JUNCTION BLVD,2022-02-28T00:00:00Z,5067,3582,27235,10800,9,2019-03-04T00:00:00Z,6412,5965,42795,17449,0.7902370555208983,0.6005029337803856,0.6364061222105386,0.6189466445068486,40.749145,-73.869527
C,LAFAYETTE AV,2022-03-07T00:00:00Z,112,646,946,3353,10,2019-03-11T00:00:00Z,219,1734,1962,5482,0.5114155251141552,0.37254901960784315,0.48216106014271154,0.6116380882889456,40.686113,-73.973946
6,96 ST,2022-01-10T00:00:00Z,240,1264,2274,13241,2,2020-01-13T00:00:00Z,593,3504,7508,30646,0.40472175379426645,0.3607305936073059,0.30287693127330845,0.4320629119624094,40.785672,-73.95107
6,96 ST,2022-03-21T00:00:00Z,518,1346,6135,10278,12,2019-03-25T00:00:00Z,1132,3348,18269,22768,0.4575971731448763,0.4020310633213859,0.3358147681865455,0.4514230498945889,40.785672,-73.95107
J,HALSEY ST,2022-04-18T00:00:00Z,491,461,3890,1633,16,2019-04-22T00:00:00Z,1387,1431,10785,3919,0.35400144196106703,0.3221523410202656,0.3606861381548447,0.4166879305945394,40.68641527,-73.91663888
A,DYCKMAN ST,2022-01-24T00:00:00Z,268,451,3663,2425,4,2020-01-27T00:00:00Z,737,1734,8244,5443,0.36363636363636365,0.26009227220299885,0.4443231441048035,0.4455263641374242,40.865491,-73.927271
6,CASTLE HILL AV,2022-01-17T00:00:00Z,725,566,5859,2377,3,2020-01-20T00:00:00Z,1465,1249,11189,5183,0.4948805460750853,0.45316253002401924,0.5236392885870051,0.4586147019100907,40.834255,-73.851222
1,215 ST,2022-01-10T00:00:00Z,161,165,1381,1192,2,2020-01-13T00:00:00Z,0,0,2738,2703,"NA","NA",0.5043827611395179,0.44099149093599704,40.869444,-73.915279
N,8 AV,2022-04-11T00:00:00Z,600,1627,7647,5695,15,2019-04-15T00:00:00Z,1568,3601,15030,12357,0.3826530612244898,0.45181893918356014,0.5087824351297405,0.4608723800275148,40.634971,-74.011516
