linename,station,weekdate_2022,week,weekend_2022,weekday_am_2022,weekday_pm_2022,weekdate_bl,weekend_bl,weekday_am_bl,weekday_pm_bl,d_weekend,d_weekday_am,d_weekday_pm,Latitude,Longitude
1,103 ST,2022-05-02T00:00:00Z,18,6420,6348,6464,2019-05-06T00:00:00Z,16646,16061,14206,0.3856782410188634,0.39524313554573187,0.4550190060537801,40.799446,-73.968379
1,103 ST,2022-05-09T00:00:00Z,19,,6400,6653,2019-05-13T00:00:00Z,17931,16029,13869,,0.39927631168507083,0.4797029346023506,40.799446,-73.968379
1,116 ST-COLUMBIA,2022-05-02T00:00:00Z,18,3615,1966,8299,2019-05-06T00:00:00Z,13385,5175,27859,0.27007844602166603,0.3799033816425121,0.2978929609820884,40.807722,-73.96411
1,116 ST-COLUMBIA,2022-05-09T00:00:00Z,19,,1957,7637,2019-05-13T00:00:00Z,17836,5050,26774,,0.38752475247524754,0.2852394113692388,40.807722,-73.96411
1,125 ST,2022-05-02T00:00:00Z,18,3557,2072,5082,2019-05-06T00:00:00Z,10391,4636,12275,0.34231546530651524,0.4469370146678171,0.4140122199592668,40.815581,-73.958372
1,125 ST,2022-05-09T00:00:00Z,19,,2140,5367,2019-05-13T00:00:00Z,10363,4505,11938,,0.4750277469478357,0.4495727927626068,40.815581,-73.958372
1,137 ST CITY COL,2022-05-02T00:00:00Z,18,6379,9048,5228,2019-05-06T00:00:00Z,15303,19357,14138,0.4168463699928119,0.4674278038952317,0.3697835620314047,40.822008,-73.953676
1,137 ST CITY COL,2022-05-09T00:00:00Z,19,,8648,5575,2019-05-13T00:00:00Z,30455,19212,13333,,0.4501353320841141,0.4181354533863347,40.822008,-73.953676
1,145 ST,2022-05-02T00:00:00Z,18,5764,5327,4642,2019-05-06T00:00:00Z,13221,8979,9734,0.43597307314121475,0.5932731930059026,0.47688514485309225,40.826551,-73.95036
1,145 ST,2022-05-09T00:00:00Z,19,,5422,4885,2019-05-13T00:00:00Z,1050,8961,9821,,0.6050663988394153,0.49740352306282454,40.826551,-73.95036
1,157 ST,2022-05-02T00:00:00Z,18,6237,9064,4204,2019-05-06T00:00:00Z,15555,19085,12602,0.40096432015429123,0.4749279538904899,0.3335978416124425,40.834041,-73.94489
1,157 ST,2022-05-09T00:00:00Z,19,,9247,4343,2019-05-13T00:00:00Z,614,18843,12226,,0.4907392665711405,0.3552265663340422,40.834041,-73.94489
1,18 ST,2022-05-02T00:00:00Z,18,2649,531,5132,2019-05-06T00:00:00Z,8061,1607,18872,0.3286192780052103,0.3304293714996889,0.2719372615515049,40.74104,-73.997871
1,18 ST,2022-05-09T00:00:00Z,19,,529,5195,2019-05-13T00:00:00Z,8878,1640,19567,,0.3225609756097561,0.26549803240149233,40.74104,-73.997871
1,181 ST,2022-05-02T00:00:00Z,18,5018,5060,5170,2019-05-06T00:00:00Z,14689,11856,14236,0.341616175369324,0.4267881241565452,0.36316381005900533,40.849505,-73.933596
1,181 ST,2022-05-09T00:00:00Z,19,,5278,5807,2019-05-13T00:00:00Z,1038,11684,14139,,0.4517288599794591,0.4107079708607398,40.849505,-73.933596
1,191 ST,2022-05-02T00:00:00Z,18,4092,5066,3560,2019-05-06T00:00:00Z,9436,10249,7936,0.433658329800763,0.49429212606107914,0.4485887096774194,40.855225,-73.929412
1,191 ST,2022-05-09T00:00:00Z,19,,5374,3764,2019-05-13T00:00:00Z,538,9511,7773,,0.5650299653033329,0.48424031905313264,40.855225,-73.929412
1,207 ST,2022-05-02T00:00:00Z,18,3419,3981,3703,2019-05-06T00:00:00Z,7979,6751,7393,0.4284998120065171,0.5896904162346319,0.5008792100635736,40.864614,-73.918819
1,207 ST,2022-05-09T00:00:00Z,19,,4244,3860,2019-05-13T00:00:00Z,680,6628,7019,,0.6403138201569101,0.5499358883031771,40.864614,-73.918819
1,215 ST,2022-05-02T00:00:00Z,18,852,979,1206,2019-05-06T00:00:00Z,1868,1549,2436,0.45610278372591007,0.632020658489348,0.49507389162561577,40.869444,-73.915279
1,215 ST,2022-05-09T00:00:00Z,19,,1062,1207,2019-05-13T00:00:00Z,177,1631,2301,,0.65113427345187,0.5245545415036941,40.869444,-73.915279
1,23 ST,2022-05-02T00:00:00Z,18,5940,2283,7928,2019-05-06T00:00:00Z,16359,7762,27867,0.36310287914909223,0.29412522545735637,0.2844942046147773,40.744081,-73.995657
