linename,station,weekdate,week,weekend,weekday_am,weekday_pm
1,103 ST,2022-05-02T00:00:00Z,18,6420,6348,6464
1,103 ST,2022-05-09T00:00:00Z,19,,6400,6653
1,116 ST-COLUMBIA,2022-05-02T00:00:00Z,18,3615,1966,8299
1,116 ST-COLUMBIA,2022-05-09T00:00:00Z,19,,1957,7637
1,125 ST,2022-05-02T00:00:00Z,18,3557,2072,5082
1,125 ST,2022-05-09T00:00:00Z,19,,2140,5367
1,137 ST CITY COL,2022-05-02T00:00:00Z,18,6379,9048,5228
1,137 ST CITY COL,2022-05-09T00:00:00Z,19,,8648,5575
1,145 ST,2022-05-02T00:00:00Z,18,5764,5327,4642
1,145 ST,2022-05-09T00:00:00Z,19,,5422,4885
1,157 ST,2022-05-02T00:00:00Z,18,6237,9064,4204
1,157 ST,2022-05-09T00:00:00Z,19,,9247,4343
1,18 ST,2022-05-02T00:00:00Z,18,2649,531,5132
1,18 ST,2022-05-09T00:00:00Z,19,,529,5195
1,181 ST,2022-05-02T00:00:00Z,18,5018,5060,5170
1,181 ST,2022-05-09T00:00:00Z,19,,5278,5807
1,191 ST,2022-05-02T00:00:00Z,18,4092,5066,3560
1,191 ST,2022-05-09T00:00:00Z,19,,5374,3764
1,207 ST,2022-05-02T00:00:00Z,18,3419,3981,3703
1,207 ST,2022-05-09T00:00:00Z,19,,4244,3860
1,215 ST,2022-05-02T00:00:00Z,18,852,979,1206
1,215 ST,2022-05-09T00:00:00Z,19,,1062,1207
1,23 ST,2022-05-02T00:00:00Z,18,5940,2283,7928
1,23 ST,2022-05-09T00:00:00Z,19,,2331,7735
1,231 ST,2022-05-02T00:00:00Z,18,4427,6333,4849
1,231 ST,2022-05-09T00:00:00Z,19,,6876,4926
1,238 ST,2022-05-02T00:00:00Z,18,1902,4408,1447
1,238 ST,2022-05-09T00:00:00Z,19,,4833,1462
1,28 ST,2022-05-02T00:00:00Z,18,4680,1901,8547
1,28 ST,2022-05-09T00:00:00Z,19,,1880,8424
1,50 ST,2022-05-02T00:00:00Z,18,10667,1429,17924
1,50 ST,2022-05-09T00:00:00Z,19,,1529,17683
1,66 ST-LINCOLN,2022-05-02T00:00:00Z,18,9551,3845,11720
1,66 ST-LINCOLN,2022-05-09T00:00:00Z,19,,3829,11781
1,79 ST,2022-05-02T00:00:00Z,18,7350,4410,9507
1,79 ST,2022-05-09T00:00:00Z,19,,4410,9397
