id,datetime,entries,station,linename
A002_R051_02-00-00,2022-05-13T20:00:00Z,7711478,59 ST,456NQRW
A002_R051_02-00-01,2022-05-13T20:00:00Z,6827669,59 ST,456NQRW
A002_R051_02-03-00,2022-05-13T20:00:00Z,1503507,59 ST,456NQRW
A002_R051_02-03-01,2022-05-13T20:00:00Z,1775089,59 ST,456NQRW
A002_R051_02-03-02,2022-05-13T20:00:00Z,182397,59 ST,456NQRW
A002_R051_02-03-03,2022-05-13T20:00:00Z,6293617,59 ST,456NQRW
A002_R051_02-03-04,2022-05-13T20:00:00Z,7690286,59 ST,456NQRW
A002_R051_02-03-05,2022-05-13T20:00:00Z,12405299,59 ST,456NQRW
A002_R051_02-03-06,2022-05-13T20:00:00Z,9654630,59 ST,456NQRW
A002_R051_02-05-00,2022-05-13T20:00:00Z,526037,59 ST,456NQRW
A002_R051_02-06-00,2022-05-13T20:00:00Z,342493,59 ST,456NQRW
A006_R079_00-00-00,2022-05-13T22:00:00Z,4696776,59 ST,456NQRW
A006_R079_00-00-01,2022-05-13T22:00:00Z,5751356,59 ST,456NQRW
A006_R079_00-00-02,2022-05-13T22:00:00Z,6669592,59 ST,456NQRW
A006_R079_00-00-03,2022-05-13T22:00:00Z,3382685,59 ST,456NQRW
A006_R079_00-00-04,2022-05-13T22:00:00Z,178923,59 ST,456NQRW
A006_R079_00-03-00,2022-05-13T22:00:00Z,188196,59 ST,456NQRW
A006_R079_00-03-01,2022-05-13T22:00:00Z,891600,59 ST,456NQRW
A006_R079_00-03-02,2022-05-13T22:00:00Z,1383073,59 ST,456NQRW
A007_R079_01-05-00,2022-05-13T22:00:00Z,4831,59 ST,456NQRW
A007_R079_01-06-00,2022-05-13T22:00:00Z,802604,59 ST,456NQRW
A007_R079_01-06-01,2022-05-13T22:00:00Z,119948939,59 ST,456NQRW
A007_R079_01-06-02,2022-05-13T22:00:00Z,5285829,59 ST,456NQRW
A007_R079_01-06-03,2022-05-13T22:00:00Z,276870,59 ST,456NQRW
A010_R080_00-00-00,2022-05-13T20:00:00Z,5413484,57 ST-7 AV,NQRW
A010_R080_00-00-01,2022-05-13T20:00:00Z,3572,57 ST-7 AV,NQRW
A010_R080_00-00-02,2022-05-13T20:00:00Z,2467,57 ST-7 AV,NQRW
A010_R080_00-00-03,2022-05-13T20:00:00Z,2648,57 ST-7 AV,NQRW
A010_R080_00-00-04,2022-05-13T20:00:00Z,5005576,57 ST-7 AV,NQRW
A010_R080_00-00-05,2022-05-13T20:00:00Z,2567777,57 ST-7 AV,NQRW
A010_R080_00-00-06,2022-05-13T20:00:00Z,20287250,57 ST-7 AV,NQRW
A010_R080_00-00-07,2022-05-13T20:00:00Z,4748275,57 ST-7 AV,NQRW
A011_R080_01-00-00,2022-05-13T20:00:00Z,556691,57 ST-7 AV,NQRW
